PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3," Mr. Owen Harris Braund",male,22,1,0,A/5 21171,7.25,,S
2,1,1," Mrs. John Bradley (Florence Briggs Thayer) Cumings",female,38,1,0,PC 17599,71.2833,C85,C
3,1,3," Miss. Laina Heikkinen",female,26,0,0,STON/O2. 3101282,7.925,,S
4,1,1," Mrs. Jacques Heath (Lily May Peel) Futrelle",female,35,1,0,113803,53.1,C123,S
5,0,3," Mr. William Henry Allen",male,35,0,0,373450,8.05,,S
6,0,3," Mr. James Moran",male,,0,0,330877,8.4583,,Q
7,0,1," Mr. Timothy J McCarthy",male,54,0,0,17463,51.8625,E46,S
8,0,3," Master. Gosta Leonard Palsson",male,2,3,1,349909,21.075,,S
9,1,3," Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson",female,27,0,2,347742,11.1333,,S
10,1,2," Mrs. Nicholas (Adele Achem) Nasser",female,14,1,0,237736,30.0708,,C
11,1,3," Miss. Marguerite Rut Sandstrom",female,4,1,1,PP 9549,16.7,G6,S
12,1,1," Miss. Elizabeth Bonnell",female,58,0,0,113783,26.55,C103,S
13,0,3," Mr. William Henry Saundercock",male,20,0,0,A/5. 2151,8.05,,S
14,0,3," Mr. Anders Johan Andersson",male,39,1,5,347082,31.275,,S
15,0,3," Miss. Hulda Amanda Adolfina Vestrom",female,14,0,0,350406,7.8542,,S
16,1,2," Mrs. (Mary D Kingcome)  Hewlett",female,55,0,0,248706,16,,S
17,0,3," Master. Eugene Rice",male,2,4,1,382652,29.125,,Q
18,1,2," Mr. Charles Eugene Williams",male,,0,0,244373,13,,S
19,0,3," Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke",female,31,1,0,345763,18,,S
20,1,3," Mrs. Fatima Masselmani",female,,0,0,2649,7.225,,C
21,0,2," Mr. Joseph J Fynney",male,35,0,0,239865,26,,S
22,1,2," Mr. Lawrence Beesley",male,34,0,0,248698,13,D56,S
23,1,3," Miss. Anna ""Annie"" McGowan",female,15,0,0,330923,8.0292,,Q
24,1,1," Mr. William Thompson Sloper",male,28,0,0,113788,35.5,A6,S
25,0,3," Miss. Torborg Danira Palsson",female,8,3,1,349909,21.075,,S
26,1,3," Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund",female,38,1,5,347077,31.3875,,S
27,0,3," Mr. Farred Chehab Emir",male,,0,0,2631,7.225,,C
28,0,1," Mr. Charles Alexander Fortune",male,19,3,2,19950,263,C23 C25 C27,S
29,1,3," Miss. Ellen ""Nellie"" O'Dwyer",female,,0,0,330959,7.8792,,Q
30,0,3," Mr. Lalio Todoroff",male,,0,0,349216,7.8958,,S
31,0,1," Don. Manuel E Uruchurtu",male,40,0,0,PC 17601,27.7208,,C
32,1,1," Mrs. William Augustus (Marie Eugenie) Spencer",female,,1,0,PC 17569,146.5208,B78,C
33,1,3," Miss. Mary Agatha Glynn",female,,0,0,335677,7.75,,Q
34,0,2," Mr. Edward H Wheadon",male,66,0,0,C.A. 24579,10.5,,S
35,0,1," Mr. Edgar Joseph Meyer",male,28,1,0,PC 17604,82.1708,,C
36,0,1," Mr. Alexander Oskar Holverson",male,42,1,0,113789,52,,S
37,1,3," Mr. Hanna Mamee",male,,0,0,2677,7.2292,,C
38,0,3," Mr. Ernest Charles Cann",male,21,0,0,A./5. 2152,8.05,,S
39,0,3," Miss. Augusta Maria Vander Planke",female,18,2,0,345764,18,,S
40,1,3," Miss. Jamila Nicola-Yarred",female,14,1,0,2651,11.2417,,C
41,0,3," Mrs. Johan (Johanna Persdotter Larsson) Ahlin",female,40,1,0,7546,9.475,,S
42,0,2," Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin",female,27,1,0,11668,21,,S
43,0,3," Mr. Theodor Kraeff",male,,0,0,349253,7.8958,,C
44,1,2," Miss. Simonne Marie Anne Andree Laroche",female,3,1,2,SC/Paris 2123,41.5792,,C
45,1,3," Miss. Margaret Delia Devaney",female,19,0,0,330958,7.8792,,Q
46,0,3," Mr. William John Rogers",male,,0,0,S.C./A.4. 23567,8.05,,S
47,0,3," Mr. Denis Lennon",male,,1,0,370371,15.5,,Q
48,1,3," Miss. Bridget O'Driscoll",female,,0,0,14311,7.75,,Q
49,0,3," Mr. Youssef Samaan",male,,2,0,2662,21.6792,,C
50,0,3," Mrs. Josef (Josefine Franchi) Arnold-Franchi",female,18,1,0,349237,17.8,,S
51,0,3," Master. Juha Niilo Panula",male,7,4,1,3101295,39.6875,,S
52,0,3," Mr. Richard Cater Nosworthy",male,21,0,0,A/4. 39886,7.8,,S
53,1,1," Mrs. Henry Sleeper (Myna Haxtun) Harper",female,49,1,0,PC 17572,76.7292,D33,C
54,1,2," Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe",female,29,1,0,2926,26,,S
55,0,1," Mr. Engelhart Cornelius Ostby",male,65,0,1,113509,61.9792,B30,C
56,1,1," Mr. Hugh Woolner",male,,0,0,19947,35.5,C52,S
57,1,2," Miss. Emily Rugg",female,21,0,0,C.A. 31026,10.5,,S
58,0,3," Mr. Mansouer Novel",male,28.5,0,0,2697,7.2292,,C
59,1,2," Miss. Constance Mirium West",female,5,1,2,C.A. 34651,27.75,,S
60,0,3," Master. William Frederick Goodwin",male,11,5,2,CA 2144,46.9,,S
61,0,3," Mr. Orsen Sirayanian",male,22,0,0,2669,7.2292,,C
62,1,1,"Miss. Amelie",female,38,0,0,113572,80,B28"
63,0,1,"Mr. Henry Birkhardt Icard Harris",male,45,1,0,36973,83.475,C83,S
64,0,3," Master. Harald Skoog",male,4,3,2,347088,27.9,,S
65,0,1," Mr. Albert A Stewart",male,,0,0,PC 17605,27.7208,,C
66,1,3," Master. Gerios Moubarek",male,,1,1,2661,15.2458,,C
67,1,2," Mrs. (Elizabeth Ramell) Nye",female,29,0,0,C.A. 29395,10.5,F33,S
68,0,3," Mr. Ernest James Crease",male,19,0,0,S.P. 3464,8.1583,,S
69,1,3," Miss. Erna Alexandra Andersson",female,17,4,2,3101281,7.925,,S
70,0,3," Mr. Vincenz Kink",male,26,2,0,315151,8.6625,,S
71,0,2," Mr. Stephen Curnow Jenkin",male,32,0,0,C.A. 33111,10.5,,S
72,0,3," Miss. Lillian Amy Goodwin",female,16,5,2,CA 2144,46.9,,S
73,0,2," Mr. Ambrose Jr Hood",male,21,0,0,S.O.C. 14879,73.5,,S
74,0,3," Mr. Apostolos Chronopoulos",male,26,1,0,2680,14.4542,,C
